fillial_name;c_nls
"г. Абинск ";17041
"г.Анапа ";28547
"г. Армавир ";63784
"г.Курганинск ";19294
"г. Белореченск ";26507
"г. Геленджик ";48862
"г. Апшеронск ";28825
"г. Горячий Ключ ";20985
"г.Гулькевичи ";16477
"г. Ейск ";46396
"г. Кореновск ";15545
г. Краснодар  Западное;56836
г.Краснодар  Карасунское;70997
г.Краснодар  Прикубанское;92983
г. Краснодар  Центральное;54902
"г. Кропоткин ";32652
"г. Крымск ";23289
"г. Лабинск ";23232
"п. Мостовской ";5088
"г. Новокубанск ";15374
г.Новороссийск  Муниципальный;15669
г.Новороссийск  Частный;37302
"г.Приморско-Ахтарск ";15917
"г.Славянск-на-Кубани ";26482
"г. Темрюк ";15032
"г.Тимашевск ";22936
"г.Тихорецк ";29008
"г. Туапсе ";28162
"г. Усть-Лабинск ";19563
